asset,name,px
NYS0768,Enterprise Products Partners,28.62
NYS0769,EP Energy,6.24
NYS0770,Evolution Petroleum,5.54
NYS0771,EPR Properties,52.1
NYS0772,Equity Commonwealth,26.12
NYS0773,Equity Commonwealth 5.75% Sr. Notes Due 2042,23.88
NYS0774,EQT GP Holdings,32.3
NYS0775,EQT Midstream Partners,79.49
NYS0776,Equity Residential,72.94
NYS0777,EQT,77.71
NYS0778,Equity One,24.01
NYS0779,Era Group,16.15
NYS0780,ERBA Diagnostics,1.69
NYS0781,Enerplus,5.97
NYS0782,Embraer ADR,25.52
NYS0783,Erin Energy,4.03
NYS0784,Eros International,33.91
NYS0785,Eversource Energy,48.29
NYS0786,Empire State Realty OP Un Series ES,16.47
NYS0787,ESCO Technologies,36.16
NYS0788,ITT Educational Services,3.83
NYS0789,Esterline Technologies,81.15
NYS0790,EnSync,0.5
NYS0791,Essent Group,26.88
NYS0792,Espey Manufacturing&Electronics,24.12
NYS0793,Empire State Realty Trust,16.64
NYS0794,Essex Property Trust,220.66
NYS0795,Earthstone Energy,16.2
NYS0796,ENSCO,17.83
NYS0797,Elephant Talk Communications,0.28
NYS0798,Energy Transfer Equity,28.78
NYS0799,Ethan Allen Interiors,29.52
NYS0800,Entercom Communications Cl A,10.48
NYS0801,Eaton,57.05
NYS0802,Energy Transfer Partners,49.56
NYS0803,Entergy,65.9
NYS0804,Euronav,13.3
NYS0805,Eaton Vance,35.03
NYS0806,Enviva Partners,12.51
NYS0807,Evans Bancorp,22.76
NYS0808,Entravision Communications,7.57
NYS0809,Everyday Health,9.61
NYS0810,EverBank Financial,19.7
NYS0811,Evogene,8.5
NYS0812,Evolent Health Cl A,17.17
NYS0813,Envision Healthcare Holdings,41.93
NYS0814,EnviroStar,4.15
NYS0815,Evercore Partners Cl A,52.81
NYS0816,Everi Holdings,4.9
NYS0817,Evertec,17.91
NYS0818,Edwards Lifesciences,144.7
NYS0819,ExamWorks Group,36.02
NYS0820,Exar,5.95
NYS0821,Exelon,31.4
NYS0822,Exelon Conv. Un,45.59
NYS0823,Exterran Holdings,21.25
NYS0824,Endeavour Silver,1.68
NYS0825,Eagle Materials,80.33
NYS0826,Express,20.39
NYS0827,Extra Space Storage,74.13
NYS0828,Ford Motor,13.74
NYS0829,First Acceptance,2.76
NYS0830,First American Financial,38.82
NYS0831,Flagstar Bancorp,19.85
NYS0832,Fortune Brands Home&Security,48.34
NYS0833,First BanCorp (Puerto Rico),3.45
NYS0834,Fibria Celulose ADR,13.9
NYS0835,Franklin Covey,16.8
NYS0836,Fiat Chrysler Automobiles,14.34
NYS0837,FCB Financial Holdings Cl A,33.06
NYS0838,Forest City Enterprises Cl A,21.58
NYS0839,Forest City Enterprises Cl B,21.62
NYS0840,First Commonwealth Financial (Pennsylvania),8.74
NYS0841,Felcor Lodging Trust,8.11
NYS0842,FTI Consulting,39.95
NYS0843,Freeport-McMoRan,10.5
NYS0844,Fresh Del Monte Produce,39.67
NYS0845,FactSet Research Systems,160.25
NYS0846,FedEx,152.5
NYS0847,FirstEnergy,32.49
NYS0848,Foresight Energy,8.13
NYS0849,Phoenix New Media Cl A ADR,4.96
NYS0850,Forum Energy Technologies,14.79
NYS0851,FutureFuel,10
NYS0852,FBL Financial Group,56.95
NYS0853,Fidelity&Guaranty Life,24.11
NYS0854,Ferrellgas Partners,22.64
NYS0855,First Horizon National,14.43
NYS0856,Frank's International,15.94
NYS0857,Fair Isaac,86.04
NYS0858,Fortress Investment Group Cl A,5.96
NYS0859,Federated Investors,31.08
NYS0860,Fidelity National Information Services,70.28
NYS0861,Empire State Realty OP Un Series 250,16.4
NYS0862,Fitbit,33.8
NYS0863,Comfort Systems USA,27.66
NYS0864,Foot Locker,71.62
NYS0865,Flowers Foods,22.8
NYS0866,Fluor,45.65
NYS0867,Flowserve,44.94
NYS0868,FleetCor Technologies,151.34
NYS0869,FleetMatics Group,45.71
NYS0870,Fly Leasing ADR,12.89
NYS0871,FMC,42.4
NYS0872,First Marblehead,3.9
NYS0873,Fresenius Medical Care ADR,38.15
NYS0874,Fairmount Santrol Holdings,4.72
NYS0875,Fomento Economico Mexicano ADR,87.81
NYS0876,Fabrinet,19.97
NYS0877,F.N.B.,12.48
NYS0878,Fidelity National Financial,36.88
NYS0879,Fidelity National Financial Tracking Stock,14.43
NYS0880,Franco-Nevada,43.63
NYS0881,Ferro Corp.,12.39
NYS0882,Forestar Group,12.81
NYS0883,Farmland Partners,10.42
NYS0884,First Potomac Realty Trust,10.76
NYS0885,FieldPoint Petroleum,1.02
NYS0886,FieldPoint Petroleum WT,0.05
NYS0887,First Industrial Realty Trust,19.6
NYS0888,First Republic Bank,60.42
NYS0889,Friedman Industries,5.8
NYS0890,Furmanite,6.18
NYS0891,Frontline,2.7
NYS0892,Federal Realty Investment Trust,132.7
NYS0893,Franklin Financial Network,23.28
NYS0894,Flexible Solutions International,1.02
NYS0895,Freescale Semiconductor,36.38
NYS0896,Fortuna Silver Mines,2.57
NYS0897,Franklin Street Properties,10.62
NYS0898,Federal Signal,13.99
NYS0899,Fortress Transportation&Infrastructure Investors,13.35
NYS0900,FMC Technologies,34.28
NYS0901,Flotek Industries,18.36
NYS0902,H.B. Fuller,36.45
NYS0903,Cedar Fair,54.07
NYS0904,Winthrop Realty Trust,14.41
NYS0905,Five Star Quality Care,3.38
NYS0906,FXCM,1.01
NYS0907,Genpact,23.43
NYS0908,AGL Resources,60.56
NYS0909,Greatbatch,57.06
NYS0910,GAMCO Investors Cl A,59.25
NYS0911,New Concept Energy,1.43
NYS0912,Greenbrier,40.98
NYS0913,GAIN Capital Holdings,8.13
NYS0914,Gannett,12.58
NYS0915,Genesco,61.05
NYS0916,General Dynamics,144.53
NYS0917,GoDaddy Cl A,25.91
NYS0918,Green Dot Cl A,17.81
NYS0919,Goodrich Petroleum,0.83
NYS0920,General Electric,25.16
NYS0921,Greif Cl A,29.19
NYS0922,Greif Cl B,35.91
NYS0923,Genesis Energy,44.14
NYS0924,Genesis Healthcare,7.15
NYS0925,GEO Group,30.41
NYS0926,Guess?,22.54
NYS0927,Gafisa ADR,1.25
NYS0928,Griffon,16.5
NYS0929,Gold Fields ADR,3.23
NYS0930,Goldcorp,13.96
NYS0931,Gerdau ADR,1.48
NYS0932,Graco Inc.,68.38
NYS0933,General Growth Properties,26.07
NYS0934,Graham Holdings,654.9
NYS0935,Greenhill,35.53
NYS0936,Graham,16.91
NYS0937,EndoChoice Holdings,17.07
NYS0938,CGI Group Cl A,37.56
NYS0939,GigOptix,1.64
NYS0940,Gildan Activewear,30.68
NYS0941,Gigamon,23.03
NYS0942,General Mills,57.13
NYS0943,Glaukos,28.74
NYS0944,Gulfmark Offshore Cl A,8.28
NYS0945,Globant,27.56
NYS0946,GasLog,13.97
NYS0947,GasLog Partners,19.07
NYS0948,Glowpoint,0.57
NYS0949,Global Partners,31.49
NYS0950,Global Power Equipment Group,4.42
NYS0951,Glatfelter,18.01
NYS0952,Corning,17.18
NYS0953,General Motors,29
NYS0954,General Motors Co. Wt 2019,12.1
NYS0955,General Motors WT 2015,0.07
NYS0956,GameStop Cl A,42.49
NYS0957,Globus Medical,24.75
NYS0958,Gruma ADR,51.95
NYS0959,General Moly,0.5
NYS0960,GATX,49.34
NYS0961,General Motors Co. Wt 2016,19.25
NYS0962,GNC Holdings Cl A,46.33
NYS0963,Genie Energy,10.45
NYS0964,Genco Shipping&Trading,5.51
NYS0965,Global Net Lease,8.77
NYS0966,Generac Holdings,30.32
NYS0967,Gener8 Maritime,13.02
NYS0968,Genworth Financial Cl A,5.17
NYS0969,GOL Linhas Aereas Inteligentes ADR,1.23
NYS0970,Gold Resource,2.41
NYS0971,Government Properties Income Trust,15.93
NYS0972,Genuine Parts,83.71
NYS0973,Group 1 Automotive,88.05
NYS0974,Graphic Packaging Holding,14.24
NYS0975,Great Panther Silver,0.4
NYS0976,Global Payments,112.47
NYS0977,GeoPark,3.51
NYS0978,Gap,32.83
NYS0979,Gramercy Property Trust,22.6
NYS0980,GP Strategies,24.36
NYS0981,W.R. Grace,100.27
NYS0982,Grana y Montero ADR,4.4
NYS0983,Gorman-Rupp,24.04
NYS0984,GreenHunter Resources,0.55
NYS0985,AGRIA ADR,1.59
NYS0986,Granite REIT,29.19
NYS0987,GrubHub,26.91
NYS0988,Goldman Sachs Group,187.75
NYS0989,Globalstar,1.66
NYS0990,GlobalSCAPE,3.31
NYS0991,Guangshen Railway ADR,20.38
NYS0992,General Steel Holdings,0.67
NYS0993,GlaxoSmithKline ADR,41.25
NYS0994,Global Ship Lease Cl A,5.38
NYS0995,Golden Star Resources,0.19
NYS0996,Gastar Exploration,1.35
NYS0997,Gold Standard Ventures,0.36
NYS0998,Gran Tierra Energy,2.41
NYS0999,Gray Television,11.36
NYS1000,Gray Television Cl A,10.14
NYS1001,Triple-S Management Cl B,21.37
NYS1002,GTT Communications,22.11
NYS1003,Central GoldTrust,39.22
NYS1004,Getty Realty,15.9
NYS1005,Goldfield,1.75
NYS1006,Granite Construction,34.31
NYS1007,GSE Systems,1.33
NYS1008,Great Western Bancorp,24.72
NYS1009,Genesee&Wyoming Cl A,69.77
NYS1010,Guidewire Software,53.86
NYS1011,Genesee&Wyoming Un,100.44
NYS1012,W.W. Grainger,223.23
NYS1013,Great Plains Energy,25.27
NYS1014,Gazit-Globe,10.43
NYS1015,Hyatt Hotels,52.38
NYS1016,Haemonetics,35.95
NYS1017,Halliburton,38.59
NYS1018,Harman International Industries,99.55
NYS1019,Hannon Armstrong Sustainable Infrastructure Capital,18.99
NYS1020,Hanesbrands,30.26
NYS1021,HudBay Minerals,5.16
NYS1022,HudBay Minerals WT,0.29
NYS1023,HCA Holdings,88.82
NYS1024,HCC Insurance Holdings,77.23
NYS1025,HC2 Holdings,7.29
NYS1026,HCI Group,38.29
NYS1027,Hi-Crush Partners,16.05
NYS1028,Health Care REIT,65.08
NYS1029,HCP,37.7
NYS1030,Home Depot,117.52
NYS1031,HDFC Bank ADR,58.39
NYS1032,Hawaiian Electric Industries,28.69
NYS1033,Hemispherx Biopharma,0.16
NYS1034,Heico,50.41
NYS1035,Heico Cl A,44
NYS1036,CHC Group,0.8
NYS1037,Holly Energy Partners,34.42
NYS1038,Hess Corp.,57.46
NYS1039,HFF Cl A,36.95
NYS1040,HollyFrontier,46.84
NYS1041,HHGregg,4.68
NYS1042,Hanger,17.83
NYS1043,Hugoton Royalty Trust Un,3.18
NYS1044,Hooper Holmes,0.14
NYS1045,Howard Hughes,126.24
NYS1046,Harte-Hanks,4.04
NYS1047,Hillenbrand,26.89
NYS1048,InfraREIT,29.14
NYS1049,Hartford Financial Services Group,46.22
NYS1050,Hartford Financial Services Group Wt,38.71
NYS1051,Huntington Ingalls Industries,113.57
NYS1052,Hill International,3.86
NYS1053,Aerohive Networks,6.37
NYS1054,Highwoods Properties,38.97
NYS1055,Halcon Resources,1.05
NYS1056,Hecla Mining,2.06
NYS1057,Herbalife,57.33
NYS1058,Houlihan Lokey Cl A,21.43
NYS1059,HealthSouth,43.35
NYS1060,Hilton Worldwide Holdings,25.04
NYS1061,Nobilis Health,5.29
NYS1062,Helix Energy Solutions Group,6.5
NYS1063,Honda Motor ADR,31.92
NYS1064,Home Properties,74.28
NYS1065,Hoegh LNG Partners,18.99
NYS1066,Horace Mann Educators,33.27
NYS1067,Harmony Gold Mining ADR,0.91
NYS1068,HNI,46.03
NYS1069,Huaneng Power International ADR,46.2
NYS1070,Harvest Natural Resources,1.3
NYS1071,Health Net,64.8
NYS1072,Harley-Davidson,56.64
NYS1073,Honeywell International,100.02
NYS1074,Hornbeck Offshore Services,18.94
NYS1075,Starwood Hotels&Resorts Worldwide,73.29
NYS1076,Hovnanian Enterprises Cl A,1.78
NYS1077,Helmerich&Payne,57.65
NYS1078,Hudson Pacific Properties,28.93
NYS1079,Hewlett-Packard,28.03
NYS1080,Hospitality Properties Trust,26.2
NYS1081,Heartland Payment Systems,60.31
NYS1082,Healthcare Realty Trust,23.42
NYS1083,H&R Block,34.47
NYS1084,Hill-Rom Holdings,53.3
NYS1085,HRG Group,12.64
NYS1086,Hormel Foods,61.5
NYS1087,Harris Corp.,77.54
NYS1088,Arrhythmia Research Technology,6.18
NYS1089,Heritage Insurance Holdings,17.63
NYS1090,HSBC Holdings ADR,39.9
NYS1091,Harsco,11.26
NYS1092,Hospira,89.93
NYS1093,Host Hotels&Resorts,18.28
NYS1094,Hershey,90.2
NYS1095,Hersha Hospitality Trust Cl A,24.94
NYS1096,Healthcare Trust of America,24.47
NYS1097,Hilltop Holdings,20.58
NYS1098,U.S. Geothermal,0.58
NYS1099,Hatteras Financial,16.35
NYS1100,Hertz Global Holdings,18.3
NYS1101,Hubbell Cl A,119.98
NYS1102,Hubbell Cl B,98.54
NYS1103,HubSpot,46.41
NYS1104,Humana,184.01
NYS1105,Huntsman,16.44
NYS1106,Houston American Energy,0.18
NYS1107,Haverty Furniture,23.01
NYS1108,Headwaters,20.13
NYS1109,Hexcel,49.3
NYS1110,Hyster-Yale Materials Handling,61.38
NYS1111,Halyard Health,31.81
NYS1112,Horizon Global,10.72
NYS1113,MarineMax,16.34
NYS1114,Intelsat,9.6
NYS1115,IAMGOLD,1.71
NYS1116,Industrias Bachoco ADR,55.03
NYS1117,iBio,0.71
NYS1118,International Business Machines,147.98
NYS1119,ICICI Bank ADR,8.87
NYS1120,Installed Building Products,26.89
NYS1121,Empresas ICA ADR,1.57
NYS1122,Independence Contract Drilling,6.39
NYS1123,Intercontinental Exchange,232.41
NYS1124,Israel Chemicals,5.7
NYS1125,IDACORP,60.19
NYS1126,IDI,6.75
NYS1127,Intellicheck Mobilisa,1.09
NYS1128,IDT Cl B,15.86
NYS1129,IEC Electronics,4.25
NYS1130,IDEX,71.63
NYS1131,International Flavors&Fragrances,110.96
NYS1132,Institutional Financial Markets,1.2
NYS1133,Imperial Holdings,5.37
NYS1134,IGI Laboratories,8.1
NYS1135,India Globalization Capital,0.26
NYS1136,India Globalization Capital WT,0.01
NYS1137,International Game Technology,16.99
NYS1138,Independence Holding,12.02
NYS1139,InterContinental Hotels Group ADR,37.87
NYS1140,IHS Cl A,117.07
NYS1141,InnSuites Hospitality Trust,2.48
NYS1142,IntraLinks Holdings,10.59
NYS1143,Ingram Micro Cl A,26.63
NYS1144,Imax,32.08
NYS1145,IMPAC Mortgage Holdings,17.09
NYS1146,Imation,2.98
NYS1147,Imperial Oil,34.48
NYS1148,Imprivata,20.58
NYS1149,Imperva,63.51
NYS1150,IMS Health Holdings,30.21
NYS1151,ImmunoCellular Therapeutics,0.41
NYS1152,InfuSystems Holdings,2.8
NYS1153,Infosys ADR,17.51
NYS1154,ING Groep ADR,15.31
NYS1155,Ingredion,86.1
NYS1156,Summit Hotel Properties,12.31
NYS1157,Intelligent Systems,2.8
NYS1158,World Fuel Services,38.42
NYS1159,inTEST,4
NYS1160,Inuvo,2.49
NYS1161,InvenSense,10.06
NYS1162,InterXion Holding,27.73
NYS1163,ION Geophysical,0.53
NYS1164,InterOil,34.54
NYS1165,International Paper,43.73
NYS1166,Interpublic Group,19.18
NYS1167,Inphi,23.88
NYS1168,Intrepid Potash,7.83
NYS1169,Ingersoll-Rand,55.73
NYS1170,Inland Real Estate,8.66
NYS1171,Investors Real Estate Trust,6.8
NYS1172,Iron Mountain,28.54
NYS1173,IRSA-Inversiones y Representaciones GDR,14.98
NYS1174,Independence Realty Trust,7.44
NYS1175,Issuer Direct,6.1
NYS1176,International Shipholding,5.89
NYS1177,IsoRay,1.42
NYS1178,Gartner,86.8
NYS1179,ITC Holdings,33.38
NYS1180,Investment Technology Group,16.2
NYS1181,Iteris,2.13
NYS1182,ITT Corp.,36.72
NYS1183,Itau Unibanco Holding ADR,7.63
NYS1184,Illinois Tool Works,85.06
NYS1185,Invacare,17.64
NYS1186,Invesco Mortgage Capital,13.65
NYS1187,INVESCO,34.61
NYS1188,Orix ADR,68.46
NYS1189,Jarden,52.34
NYS1190,Jabil Circuit,19.47
NYS1191,John Bean Technologies,33.75
NYS1192,Jernigan Capital,18.42
NYS1193,Johnson Controls,41.49
NYS1194,J.C. Penney,8.94
NYS1195,Just Energy Group,6.06
NYS1196,Jacobs Engineering Group,39.96
NYS1197,J.G. Wentworth Cl A,5.17
NYS1198,James Hardie Industries ADR,64.5
NYS1199,JinkoSolar Holding ADR,19.97
NYS1200,Jones Lang LaSalle,152.73
NYS1201,Jumei International Holding ADR,10.84
NYS1202,Journal Media Group,6.74
NYS1203,Javelin Mortgage Investment,6.56
NYS1204,JMP Group,7.24
NYS1205,Johnson&Johnson,95.17
NYS1206,Juniper Networks,25.98
NYS1207,Janus Capital Group,15.1
NYS1208,General Employment Enterprises,0.71
NYS1209,St. Joe,17.42
NYS1210,Jones Energy Cl A,5.73
NYS1211,Joy Global,24.01
NYS1212,Jupai Holdings ADR,9.91
NYS1213,JP Energy Partners,8.8
NYS1214,JPMorgan Chase,64.13
NYS1215,JPMorgan Chase Wt,22.52
NYS1216,John Wiley&Sons Cl A,52.05
NYS1217,John Wiley&Sons Cl B,52.16
NYS1218,Nordstrom,73.36
NYS1219,Kellogg,67.04
NYS1220,Kadant,44.22
NYS1221,Kaman,38.72
NYS1222,KAR Auction Services,37.39
NYS1223,Kate Spade,18.88
NYS1224,KB Financial Group ADR,30.41
NYS1225,KB Home,14.43
NYS1226,KBR,17.25
NYS1227,KCG Holdings,11.28
NYS1228,Key Energy Services,0.66
NYS1229,Kemet,1.91
NYS1230,Korea Electric Power ADR,20.78
NYS1231,Kirby,70.48
NYS1232,KeyCorp,13.78
NYS1233,Keysight Technologies,31.92
NYS1234,Kingsway Financial Services,5.15
NYS1235,Korn/Ferry International,33.53
NYS1236,Kinross Gold,1.84
NYS1237,Kimco Realty,23.58
NYS1238,King Digital Entertainment,13.5
NYS1239,Kelso Technologies,1.85
NYS1240,Krispy Kreme Doughnuts,17.22
NYS1241,KKR,19.91
NYS1242,Kimberly-Clark,107.21
NYS1243,KMG Chemicals,23.08
NYS1244,Kinder Morgan,32.63
NYS1245,Kinder Morgan WT,1.39
NYS1246,Kemper Corp,35.8
NYS1247,Kennametal,29.76
NYS1248,CarMax,61.02
NYS1249,Knowles,16.28
NYS1250,Kindred Healthcare,20.63
NYS1251,Knoll Inc.,23.67
NYS1252,Knot Offshore Partners,18.22
NYS1253,Knight Transportation,27.43
NYS1254,Coca-Cola,39.45
NYS1255,Eastman Kodak,14.05
NYS1256,Coca-Cola Femsa ADR,70.75
NYS1257,Koppers Holdings,20.04
NYS1258,Michael Kors Holdings,43.17
NYS1259,Kosmos Energy,6.86
NYS1260,Kroger,34.94
NYS1261,Kraton Performance Polymers,20.68
NYS1262,Kilroy Realty,65.99
NYS1263,Kite Realty Group Trust,23.99
NYS1264,Kronos Worldwide,7.31
NYS1265,KapStone Paper&Packaging,21.79
NYS1266,Kohl's,51.72
NYS1267,Kansas City Southern,94.58
NYS1268,KT ADR,12.33
NYS1269,Kennedy-Wilson Holdings,24.21
NYS1270,Quaker Chemical,79.92
NYS1271,Kyocera ADR,50.23
NYS1272,Loews,36.53
NYS1273,Lithia Motors Cl A,107.4
NYS1274,Ladder Capital Cl A,15.53
NYS1275,Lazard,50.67
NYS1276,L Brands,83.64
NYS1277,Liberator Medical Holdings,2.57
NYS1278,Libbey,35.12
NYS1279,LendingClub,12.77
NYS1280,Lannett,49.87
NYS1281,Lydall,27.49
NYS1282,Leidos Holdings,42.44
NYS1283,Landauer,37.88
NYS1284,Lear Corp.,103.51
NYS1285,Springleaf Holdings,44.58
NYS1286,Lee Enterprises,2.03
NYS1287,Leggett&Platt,44.14
NYS1288,Lucas Energy,2
NYS1289,Leju Holdings ADR,5.26
NYS1290,Lennar Cl A,50.43
NYS1291,Lennar Cl B,42
NYS1292,Centrus Energy,3.75
NYS1293,LeapFrog Enterprises Cl A,0.92
NYS1294,China Life Insurance ADR,17.46
NYS1295,LATAM Airlines Group ADR,5.49
NYS1296,Laclede Group,52.98
NYS1297,Lions Gate Entertainment,37.23
NYS1298,LGL Group,3.75
NYS1299,Laboratory of America Holdings,119.61
NYS1300,LaSalle Hotel Properties,32.11
NYS1301,Lennox International,119.68
NYS1302,LiqTech International,0.75
NYS1303,LightInTheBox Holding ADR,2.91
NYS1304,Lumber Liquidators Holdings,14.93
NYS1305,L-3 Communications Holdings,106.97
NYS1306,Eli Lilly,83.19
NYS1307,Legg Mason,44.75
NYS1308,Lockheed Martin,203.9
NYS1309,Lincoln National,51.13
NYS1310,Lincoln National Wt,43.03
NYS1311,BrasilAgro-Companhia Brasileira de Propriedades Agricolas ADR,2.94
NYS1312,Cheniere Energy,63.48
NYS1313,LinkedIn Cl A,183.94
NYS1314,Lindsay,76.16
NYS1315,Alliant Energy,57.8
NYS1316,LifeLock,8.39
NYS1317,Comstock Mining,0.59
NYS1318,Spark Networks,3.15
NYS1319,Lowe's,68.45
NYS1320,Dorian LPG,12.77
NYS1321,Laredo Petroleum,9.92
NYS1322,LG Display ADR,9.75
NYS1323,Liberty Property Trust,31.46
NYS1324,Louisiana-Pacific,16.37
NYS1325,La Quinta Holdings,18.78
NYS1326,LRR Energy,4.55
NYS1327,K12,13.02
NYS1328,Lake Shore Gold,0.86
NYS1329,LTC Properties,41.45
NYS1330,Ladenburg Thalmann Financial Services,2.62
NYS1331,Luby's,4.68
NYS1332,Leucadia National,21.5
NYS1333,Southwest Airlines,37.1
NYS1334,Luxottica Group ADR,68.04
NYS1335,Level 3 Communications,45.37
NYS1336,Las Vegas Sands,47.36
NYS1337,Luxfer Holdings ADR,12.98
NYS1338,Luxoft Holding,61.71
NYS1339,Lexmark International,29.97
NYS1340,Lexington Realty Trust,8.15
NYS1341,LSB Industries,23.45
NYS1342,LyondellBasell Industries,85.43
NYS1343,Lloyds Banking Group ADR,4.82
NYS1344,Live Nation Entertainment,24.8
NYS1345,La-Z-Boy,27.53
NYS1346,Macy's,59
NYS1347,MasterCard Cl A,94.08
NYS1348,Mid-America Apartment Communities,80.63
NYS1349,Macerich,77.54
NYS1350,ManpowerGroup,87.09
NYS1351,Manchester United Cl A,18.09
NYS1352,Masco,26.29
NYS1353,Matson,37.8
NYS1354,MBIA,6.72
NYS1355,Mobileye,56.45
NYS1356,Mobile TeleSystems ADR,7.38
NYS1357,Moelis,27.2
NYS1358,McDonald's,96.25
NYS1359,Contango Oil&Gas,8.98
NYS1360,McKesson,200.8
NYS1361,Moody's,104.39
NYS1362,Milacron Holdings,19.44
NYS1363,Marcus,19.65
NYS1364,Mercury General,51.32
NYS1365,Mad Catz Interactive,0.47
NYS1366,Mednax,81.57
NYS1367,M.D.C. Holdings,28.27
NYS1368,Medgenics,7.87
NYS1369,Medgenics Wt,2.25
NYS1370,Medley Management Cl A,7.08
NYS1371,Meredith,46.79
NYS1372,McDermott International,4.66
NYS1373,Medtronic,73.56
NYS1374,MDU Resources Group,17.99
NYS1375,Metalico,0.56
NYS1376,Medifast,28
NYS1377,Media General,11.84
NYS1378,Methode Electronics,26.75
NYS1379,Midcoast Energy Partners,12.1
NYS1380,MetLife,50.32
NYS1381,MFA Financial,7.21
NYS1382,Manulife Financial,16.25
NYS1383,Mizuho Financial Group ADR,4.1
NYS1384,Mistras Group,14.6
NYS1385,Magna International,49.23
NYS1386,Minco Gold,0.18
NYS1387,MGM Resorts International,20.84
NYS1388,Mines Management,0.35
NYS1389,MGT Capital Investments,0.23
NYS1390,McGraw Hill Financial,99.45
NYS1391,Marine Harvest ADR,11.76
NYS1392,Mastech Holdings,7.31
NYS1393,Mohawk Industries,197.59
NYS1394,M/I Homes,24.72
NYS1395,Magnum Hunter Resources,0.85
NYS1396,Macquarie Infrastructure,77.94
NYS1397,MFC Industrial,3.51
NYS1398,AG Mortgage Investment Trust,16.56
NYS1399,MiX Telematics ADR,5.9
NYS1400,Majesco,4.85
NYS1401,Mead Johnson Nutrition,78.57
NYS1402,McCormick,79.92
NYS1403,Markel,831.94
NYS1404,Mueller Industries,31.74
NYS1405,Martin Marietta Materials,165.5
NYS1406,Maui Land&Pineapple,5.25
NYS1407,Miller Industries,20.91
NYS1408,Milestone Scientific,2.7
NYS1409,Millennial Media,1.27
NYS1410,Marsh&McLennan,54.13
NYS1411,Marcus&Millichap,43.44
NYS1412,3M,144.21
NYS1413,Magellan Midstream Partners,71.94
NYS1414,Maximus,62.12
NYS1415,Manning&Napier,9.47
NYS1416,McClatchy Cl A,1.17
NYS1417,Mallinckrodt,89.93
NYS1418,Monmouth Real Estate Investment Cl A,9.58
NYS1419,Altria Group,54.17
NYS1420,Command Security,1.58
NYS1421,Modine Manufacturing,8.88
NYS1422,Model N,10.31
NYS1423,Moog Cl A,63.06
NYS1424,Moog Cl B,62.93
NYS1425,Molina Healthcare,76.27
NYS1426,Monsanto,98.38
NYS1427,Monogram Residential Trust,9.26
NYS1428,Mosaic,41.04
NYS1429,Movado Group,28.49
NYS1430,Marathon Petroleum,47.22
NYS1431,Metaldyne Performance Group,18.9
NYS1432,MPLX,49.99
NYS1433,Midstates Petroleum,4.19
NYS1434,Medical Properties Trust,11.91
NYS1435,Marine Products,7.01
NYS1436,Mindray Medical International ADR,24.61
NYS1437,MRC Global,12.34
NYS1438,Marin Software,3.58
NYS1439,Merck&Co,55.37
NYS1440,Marathon Oil,16.65
NYS1441,Morgan Stanley,34.05
NYS1442,MSA Safety,45.29
NYS1443,Mesabi Trust,13.02
NYS1444,MSCI,62.16
NYS1445,Madison Square Garden,71.03
NYS1446,Motorola Solutions,64.55
NYS1447,MidSouth Bancorp,13.65
NYS1448,MSC Industrial Direct,67.45
NYS1449,Emerson Radio,1.26
NYS1450,Martha Stewart Living Omnimedia,6.02
NYS1451,Mast Therapeutics,0.47
NYS1452,ArcelorMittal ADR,8.05
NYS1453,M&T Bank,119.02
NYS1454,Mettler-Toledo International,300.2
NYS1455,Matador Resources,22.43
NYS1456,MGIC Investment,10.58
NYS1457,Meritage Homes,41.7
NYS1458,Mechel ADR,1.08
NYS1459,Vail Resorts,108.71
NYS1460,Meritor,12.91
NYS1461,Mesa Royalty Trust,11.97
NYS1462,Materion,31.15
NYS1463,Mitsubishi UFJ Financial Group ADR,6.78
NYS1464,Manitowoc,17.03
NYS1465,Minerals Technologies,53.77
NYS1466,MasTec,15.87
NYS1467,Murphy Oil,30.04
NYS1468,Murphy USA,50.25
NYS1469,McEwen Mining,0.87
NYS1470,MAG Silver,7.49
NYS1471,MV Oil Trust,7.46
NYS1472,Men's Wearhouse,56.6
NYS1473,Mueller Water Products,9.01
NYS1474,MarkWest Energy Partners,56.96
NYS1475,Monster Worldwide,7.04
NYS1476,MagnaChip Semiconductor,7.74
NYS1477,Mexco Energy,3.25
NYS1478,MaxLinear,10
NYS1479,MaxPoint Interactive,4.68
NYS1480,China Ming Yang Wind Power Group ADR,2
NYS1481,ClubCorp Holdings,22.46
NYS1482,Myers Industries,13.94
NYS1483,NetSuite,91.54
NYS1484,North Atlantic Drilling,0.79
NYS1485,Northern Dynasty Minerals,0.35
NYS1486,Nordic American Offshore,6.47
NYS1487,Navios Maritime Midstream Partners,13.78
NYS1488,Nordic American Tankers,14.11
NYS1489,Navistar International,17.68
NYS1490,Navidea Biopharmaceuticals,1.82
NYS1491,National Bank of Greece ADR,0.68
NYS1492,National Bank Holdings,19.92
NYS1493,Noble Energy,34.53
NYS1494,Nabors Industries,11.4
NYS1495,NovaBay Pharmaceuticals,0.36
NYS1496,NACCO Industries Cl A,52.8
NYS1497,Navigant Consulting,15.82
NYS1498,NovaCopper,0.59
NYS1499,NCR,25.16
NYS1500,NCI Building Systems,10.38
NYS1501,Newcastle Investment,4.93
NYS1502,Enduro Royalty Trust,2.92
NYS1503,Noble,12.82
